taxon_id,LFC (1Q),LFC (2Q),LFC (3Q),LFC (4Q),W,p,q,pattern,structural_zero (1Q),structural_zero (2Q),structural_zero (3Q),structural_zero (4Q)
Anoxybacillus,0,0.3439980161563889,0.6631697600268962,0.919895266733249,3.1138260493148913,0,0,3,No,No,No,No
Paracoccus,0,0.2760207079136173,0.5507559368754003,0.9313213898802929,3.606062847936023,0,0,3,No,No,No,No
Parvimonas,0,0.3623411580782671,0.8022807997387672,0.8022807997387672,2.9616656679785915,0.001,0.040666666666666663,3,No,No,No,No
Acidovorax,0,0.3990367737880102,0.7055056889094341,0.8742242954473383,3.3055736354609886,0.005,0.04692307692307693,3,No,No,No,No
Actinomyces,0,0.19069545234031116,0.3233152176096791,0.3977925731777707,2.692955873505048,0.003,0.04692307692307693,3,No,No,No,No
Fretibacterium,0,0.5081968466949957,0.6761939924579662,1.0018960154676413,2.7950122719692283,0.003,0.04692307692307693,3,No,No,No,No
Haemophilus,0,0.5199141358051749,0.7148461966339039,0.7148461966339039,2.553861098008109,0.004,0.04692307692307693,3,No,No,No,No
Megasphaera,0,1.8168186897953967e-19,-0.28637873060065955,-0.5871382055845298,2.58113602110498,0.004,0.04692307692307693,-3,No,No,No,No
Mesorhizobium,0,-2.0768513744336187e-17,0.11479606429768179,0.5926632562665113,2.8711547892073317,0.005,0.04692307692307693,3,No,No,No,No
Peptostreptococcaceae_[XI][G-9],0,0.43638354408713703,0.7189565301737534,0.7558173587689578,2.589544946038486,0.004,0.04692307692307693,3,No,No,No,No
Pseudopropionibacterium,0,0.16405818738243458,0.36198194876671363,0.6563516239410758,2.938656311431528,0.005,0.04692307692307693,3,No,No,No,No
Saccharibacteria_(TM7)_[G-3],0,3.711102653462253e-19,-0.5390801728786437,-0.8494171724002472,3.2938399520483936,0.002,0.04692307692307693,-3,No,No,No,No
Unknown,0,0.018382401826676376,0.3195269641632539,0.5111440366719269,2.9473056162514926,0.002,0.04692307692307693,3,No,No,No,No
