taxon_id,LFC (above LOD - below LOD),SE,W,p,q,structural_zero (below LOD),structural_zero (above LOD)
Stomatobaculum,0.5508507151111819,0.16392216555996622,3.3604406898203707,7.781823691101894e-4,0.09416006666233293,No,No
Absconditabacteria_(SR1)_[G-1],-0.6605020631085781,0.22228776556769217,-2.971382889300035,0.0029646191672636287,0.15189067830328953,No,No
Alloprevotella,-0.5173319689519184,0.18936477765123277,-2.731933442790122,0.0062963859184550644,0.15189067830328953,No,No
Bacteroides,0.2500195903270596,0.09039957465317955,2.7657164459707544,0.005679789827077278,0.15189067830328953,No,No
Mesorhizobium,-0.37156237945500575,0.13500932102978888,-2.7521239024157675,0.005921011407941383,0.15189067830328953,No,No
Mitsuokella,0.36034300934959046,0.13484027051069658,2.6723693744073675,0.007531769172063943,0.15189067830328953,No,No
Agrobacterium,0.30015724748621964,0.11752541308685092,2.5539773875494003,0.010650017272983725,0.18409315571871868,No,No
Paenibacillus,0.29584071394707584,0.11819349782600891,2.503020211675088,0.012313851170691505,0.18624699895670901,No,No
Aerococcus,-0.27461245695160436,0.12129081046395225,-2.2640829581497393,0.023569012929025305,0.23765421370100517,No,No
Bergeyella,-0.3009465958187899,0.13148530299698555,-2.2888230772506146,0.02208963406758405,0.23765421370100517,No,No
Catonella,-0.40862952071596376,0.1790097619509499,-2.28272199383144,0.02244674940434652,0.23765421370100517,No,No
Propionibacteriaceae_[G-1],0.25034750179986326,0.10613928985695766,2.358669462903444,0.01834058369351404,0.23765421370100517,No,No
Lactobacillus,0.3415741440083742,0.15566011118488898,2.1943588592369783,0.028209621090041423,0.2625664732226933,No,No
Clostridiales_[F-1][G-2],0.2133572068682704,0.09979009473834981,2.1380599690549866,0.03251187636361077,0.28099550285692165,No,No
Megasphaera,0.3571822637632774,0.16942918729191853,2.108150723451616,0.03501795408774447,0.28247816297447204,No,No
Eikenella,-0.2542204539355463,0.12308500517599814,-2.0654055591258964,0.03888464302421768,0.2940651128706462,No,No
